date,forecast,lower_bound,upper_bound
2025-12-22,15.579486956066185,12.51268915945324,18.646284752679133
2025-12-23,15.579473383273589,12.676077696400242,18.482869070146936
2025-12-24,15.594397196873098,12.803070629393922,18.385723764352274
2025-12-25,15.59906535786096,12.80824140585544,18.38988930986648
2025-12-26,15.563634455595105,12.829675163830434,18.297593747359777
2025-12-27,15.517938370942671,12.878071928345225,18.157804813540118
2025-12-28,15.566999871358528,13.06728113229818,18.066718610418874
2025-12-29,15.577183533149087,12.993025200376008,18.161341865922168
2025-12-30,15.505675562338295,12.897648155839441,18.11370296883715
2025-12-31,15.505988313053047,12.972641186357517,18.039335439748577
2026-01-01,15.515562997509258,12.917363291113091,18.113762703905426
2026-01-02,15.514693236304455,12.856043302562268,18.173343170046643
2026-01-03,15.566846091725,12.836895901894444,18.296796281555554
2026-01-04,15.562852235354994,12.95884341025037,18.166861060459617
2026-01-05,15.513949059730086,12.876343288727222,18.15155483073295
2026-01-06,15.535805979198722,12.911141742473536,18.160470215923908
2026-01-07,15.601199171691311,12.924791495348947,18.277606848033678
2026-01-08,15.60174520292732,12.923401471312404,18.280088934542235
2026-01-09,15.602225710415015,12.857183936284809,18.34726748454522
2026-01-10,15.602620159086422,12.786592002817166,18.41864831535568
2026-01-11,15.60414745968996,12.716980663556006,18.491314255823916
2026-01-12,15.604762090839332,12.700048135212082,18.50947604646658
2026-01-13,15.619846236059287,12.696940848044834,18.54275162407374
2026-01-14,15.619300204823277,12.641252937717866,18.59734747192869
2026-01-15,15.619300204823277,12.602798308467783,18.635802101178772
2026-01-16,15.619846236059287,12.637895108152163,18.601797363966412
2026-01-17,15.619322046072716,12.57968900197097,18.658955090174462
2026-01-18,15.631471700186209,12.65918759492289,18.603755805449527
2026-01-19,15.631471700186209,12.6178341388649,18.645109261507518
2026-01-20,15.642218246396398,14.248640111376227,17.035796381416567
